date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:55	86341/86341	---M--	200	added ('OK')	application/x-javascript	etag:%2215145-5736c6a5509bb%22	http://www.innovationplans.com/idesign/arco/js/jquery-3.0.0.min.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/jquery-3.0.0.min.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:32:56	7083/7083	---M--	200	added ('OK')	application/x-javascript	etag:%221bab-5736c6a605071%22	http://www.innovationplans.com/idesign/arco/js/jquery-migrate-3.0.0.min.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/jquery-migrate-3.0.0.min.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:32:58	19188/19188	---M--	200	added ('OK')	application/x-javascript	etag:%224af4-5736c6a9a676c%22	http://www.innovationplans.com/idesign/arco/js/popper.min.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/popper.min.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:32:58	48944/48944	---M--	200	added ('OK')	application/x-javascript	etag:%22bf30-5736c6a1aa864%22	http://www.innovationplans.com/idesign/arco/js/bootstrap.min.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/bootstrap.min.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:32:59	1418/1418	---M--	200	added ('OK')	application/x-javascript	etag:%2258a-5736c6aa6b3cc%22	http://www.innovationplans.com/idesign/arco/js/scrollIt.min.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/scrollIt.min.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:32:59	9028/9028	---M--	200	added ('OK')	application/x-javascript	etag:%222344-5736c6a7e76ec%22	http://www.innovationplans.com/idesign/arco/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/jquery.waypoints.min.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:33:00	1115/1115	---M--	200	added ('OK')	application/x-javascript	etag:%2245b-5736c6a6891c8%22	http://www.innovationplans.com/idesign/arco/js/jquery.counterup.min.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/jquery.counterup.min.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:33:01	42854/42854	---M--	200	added ('OK')	application/x-javascript	etag:%22a766-5736c6a8e5d62%22	http://www.innovationplans.com/idesign/arco/js/owl.carousel.min.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/owl.carousel.min.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:33:02	20216/20216	---M--	200	added ('OK')	application/x-javascript	etag:%224ef8-5736c6a7a7bc5%22	http://www.innovationplans.com/idesign/arco/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/jquery.magnific-popup.min.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:33:03	12597/12597	---M--	200	added ('OK')	application/x-javascript	etag:%223135-5736c6a74c2a3%22	http://www.innovationplans.com/idesign/arco/js/jquery.stellar.min.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/jquery.stellar.min.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:33:04	2805/2805	---M--	200	added ('OK')	application/x-javascript	etag:%22af5-5736c6ab048c7%22	http://www.innovationplans.com/idesign/arco/js/YouTubePopUp.jquery.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/YouTubePopUp.jquery.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:33:05	3839/3839	---M--	200	added ('OK')	application/x-javascript	etag:%22eff-5736c6a845302%22	http://www.innovationplans.com/idesign/arco/js/map.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/map.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:33:05	40863/40863	---M--	200	added ('OK')	application/x-javascript	etag:%229f9f-5736c6a387d43%22	http://www.innovationplans.com/idesign/arco/js/isotope.pkgd.min.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/isotope.pkgd.min.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:33:06	11730/11730	---M--	200	added ('OK')	application/x-javascript	etag:%222dd2-5736c6ab00e2f%22	http://www.innovationplans.com/idesign/arco/js/validator.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/validator.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:33:06	6891/6891	---M--	200	added ('OK')	application/x-javascript	etag:%221aeb-5736c6aa106be%22	http://www.innovationplans.com/idesign/arco/js/scripts.js	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/js/scripts.js	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:33:08	144877/144877	---M--	200	added ('OK')	text/css	etag:%22235ed-5736c6b67fffa%22	http://www.innovationplans.com/idesign/arco/css/plugins/bootstrap.min.css	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/plugins/bootstrap.min.css	(from http://www.innovationplans.com/idesign/arco/css/plugins.css)
18:33:10	16952/16952	---M--	200	added ('OK')	text/css	etag:%224238-5736c6ae37e18%22	http://www.innovationplans.com/idesign/arco/css/plugins/animate.min.css	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/plugins/animate.min.css	(from http://www.innovationplans.com/idesign/arco/css/plugins.css)
18:33:10	7855/7855	---M--	200	added ('OK')	text/css	etag:%221eaf-5736c6bcd8412%22	http://www.innovationplans.com/idesign/arco/css/plugins/linea-basic.css	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/plugins/linea-basic.css	(from http://www.innovationplans.com/idesign/arco/css/plugins.css)
18:33:11	34734/34734	---M--	200	added ('OK')	text/css	etag:%2287ae-5736c6b950325%22	http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css	(from http://www.innovationplans.com/idesign/arco/css/plugins.css)
18:33:12	3018/3018	---M--	200	added ('OK')	text/css	etag:%22bca-5736c6c517120%22	http://www.innovationplans.com/idesign/arco/css/plugins/YouTubePopUp.css	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/plugins/YouTubePopUp.css	(from http://www.innovationplans.com/idesign/arco/css/plugins.css)
18:33:12	452920/452920	---M--	200	added ('OK')	image/jpeg	etag:%226e938-5736c7112ea63%22	http://www.innovationplans.com/idesign/arco/img/blog/3.jpg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/img/blog/3.jpg	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:33:13	6951/6951	---M--	200	added ('OK')	text/css	etag:%221b27-5736c6c25c546%22	http://www.innovationplans.com/idesign/arco/css/plugins/magnific-popup.css	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/plugins/magnific-popup.css	(from http://www.innovationplans.com/idesign/arco/css/plugins.css)
18:33:13	3228/3228	---M--	200	added ('OK')	text/css	etag:%22c9c-5736c6c33272c%22	http://www.innovationplans.com/idesign/arco/css/plugins/owl.carousel.min.css	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/plugins/owl.carousel.min.css	(from http://www.innovationplans.com/idesign/arco/css/plugins.css)
18:33:14	1003/1003	---M--	200	added ('OK')	text/css	etag:%223eb-5736c6c404e6c%22	http://www.innovationplans.com/idesign/arco/css/plugins/owl.theme.default.min.css	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/plugins/owl.theme.default.min.css	(from http://www.innovationplans.com/idesign/arco/css/plugins.css)
